 3.200   0.114800E-01  -0.106900E-01  -0.299494E-01   0.294250E-01  -0.239660E-02   0.151300E-02   0.932202E-03  -0.116280E-02  -0.110000E-02   0.121100E-03   0.305757E-02  -0.360601E-03  -0.425100E-02   0.492301E-03
 3.250   0.101000E-01  -0.933400E-02  -0.255990E-01   0.250550E-01  -0.210200E-02   0.129700E-02   0.762500E-03  -0.970200E-03  -0.960000E-03   0.104400E-03   0.260594E-02  -0.307996E-03  -0.363410E-02   0.415199E-03
 3.300   0.891000E-02  -0.817800E-02  -0.219791E-01   0.214230E-01  -0.185090E-02   0.111600E-02   0.625199E-03  -0.812702E-03  -0.840000E-03   0.901000E-04   0.222922E-02  -0.263300E-03  -0.311730E-02   0.350900E-03
 3.350   0.789000E-02  -0.718700E-02  -0.189513E-01   0.183915E-01  -0.163570E-02   0.964500E-03   0.513801E-03  -0.683196E-03  -0.740000E-03   0.780000E-04   0.191359E-02  -0.225298E-03  -0.268270E-02   0.297200E-03
 3.400   0.700000E-02  -0.633500E-02  -0.164056E-01   0.158461E-01  -0.145040E-02   0.836901E-03   0.423200E-03  -0.576299E-03  -0.640000E-03   0.676000E-04   0.164799E-02  -0.193000E-03  -0.231570E-02   0.252100E-03
 3.450   0.626000E-02  -0.560000E-02  -0.142559E-01   0.137012E-01  -0.129010E-02   0.728801E-03   0.349000E-03  -0.487600E-03  -0.560000E-03   0.586000E-04   0.142358E-02  -0.165500E-03  -0.200470E-02   0.214400E-03
 3.500   0.559000E-02  -0.496200E-02  -0.124311E-01   0.118851E-01  -0.115090E-02   0.636898E-03   0.288300E-03  -0.413999E-03  -0.500000E-03   0.509000E-04   0.123354E-02  -0.142101E-03  -0.174030E-02   0.182601E-03
 3.550   0.501000E-02  -0.441500E-02  -0.108786E-01   0.103427E-01  -0.102940E-02   0.558302E-03   0.238400E-03  -0.352502E-03  -0.440000E-03   0.444000E-04   0.107172E-02  -0.122299E-03  -0.151470E-02   0.156000E-03
 3.600   0.450000E-02  -0.393100E-02  -0.954900E-02   0.902720E-02  -0.923000E-03   0.490800E-03   0.197500E-03  -0.301000E-03  -0.390000E-03   0.387000E-04   0.933540E-03  -0.105300E-03  -0.132160E-02   0.133400E-03
 3.650   0.405000E-02  -0.350900E-02  -0.840830E-02   0.790120E-02  -0.829700E-03   0.432797E-03   0.163600E-03  -0.257701E-03  -0.350000E-03   0.338000E-04   0.815241E-03  -0.909008E-04  -0.115590E-02   0.114400E-03
 3.700   0.367000E-02  -0.313900E-02  -0.742449E-02   0.693439E-02  -0.747498E-03   0.382602E-03   0.135500E-03  -0.221200E-03  -0.300000E-03   0.296000E-04   0.713569E-03  -0.786008E-04  -0.101318E-02   0.983002E-04
 3.750   0.331000E-02  -0.281400E-02  -0.657410E-02   0.610080E-02  -0.674900E-03   0.339195E-03   0.112400E-03  -0.190400E-03  -0.270000E-03   0.258000E-04   0.626316E-03  -0.679996E-04  -0.890280E-03   0.845995E-04
 3.800   0.300000E-02  -0.252700E-02  -0.583660E-02   0.538070E-02  -0.610400E-03   0.301294E-03   0.930997E-04  -0.164300E-03  -0.250000E-03   0.227000E-04   0.550709E-03  -0.590002E-04  -0.783769E-03   0.729999E-04
 3.850   0.273000E-02  -0.227400E-02  -0.519480E-02   0.475650E-02  -0.553200E-03   0.268497E-03   0.771005E-04  -0.142097E-03  -0.210000E-03   0.200000E-04   0.485278E-03  -0.512004E-04  -0.691391E-03   0.630002E-04
 3.900   0.248000E-02  -0.205000E-02  -0.463470E-02   0.421441E-02  -0.502301E-03   0.239596E-03   0.637993E-04  -0.123098E-03  -0.190000E-03   0.176000E-04   0.428514E-03  -0.444194E-04  -0.611160E-03   0.545206E-04
 3.950   0.226000E-02  -0.185100E-02  -0.414520E-02   0.374270E-02  -0.456801E-03   0.214301E-03   0.526998E-04  -0.106897E-03  -0.170000E-03   0.155000E-04   0.379130E-03  -0.387887E-04  -0.541200E-03   0.472898E-04
 4.000   0.206000E-02  -0.167400E-02  -0.371429E-02   0.332990E-02  -0.416100E-03   0.192098E-03   0.434993E-04  -0.931025E-04  -0.160000E-03   0.136000E-04   0.336040E-03  -0.337595E-04  -0.480110E-03   0.411598E-04
