 2.100 0.202907E+01 -.201924E+01 0.415990E-01 -.320940E-01 -.195730E-01 0.796030E-01
 2.110 0.179647E+01 -.178667E+01 0.377481E-01 -.284820E-01 -.195351E-01 0.724080E-01
 2.120 0.160337E+01 -.159361E+01 0.344349E-01 -.254000E-01 -.193775E-01 0.661410E-01
 2.130 0.144072E+01 -.143101E+01 0.315595E-01 -.227480E-01 -.191319E-01 0.606380E-01
 2.140 0.130206E+01 -.129237E+01 0.290426E-01 -.204529E-01 -.188219E-01 0.557720E-01
 2.150 0.118262E+01 -.117298E+01 0.268268E-01 -.184508E-01 -.184650E-01 0.514420E-01
 2.160 0.107881E+01 -.106922E+01 0.248634E-01 -.166959E-01 -.180745E-01 0.475680E-01
 2.170 0.987908E+00 -.978355E+00 0.231143E-01 -.151505E-01 -.176608E-01 0.440860E-01
 2.180 0.907744E+00 -.898243E+00 0.215490E-01 -.137836E-01 -.172316E-01 0.409440E-01
 2.190 0.836650E+00 -.827193E+00 0.201422E-01 -.125688E-01 -.167930E-01 0.380960E-01
 2.200 0.773244E+00 -.763843E+00 0.188717E-01 -.114868E-01 -.163499E-01 0.355080E-01
 2.250 0.539227E+00 -.530114E+00 0.140493E-01 -.753440E-02 -.141700E-01 0.255180E-01
 2.300 0.392237E+00 -.383436E+00 0.108911E-01 -.513800E-02 -.121838E-01 0.188530E-01
 2.350 0.294108E+00 -.285648E+00 0.870230E-02 -.361660E-02 -.104508E-01 0.142200E-01
 2.400 0.225726E+00 -.217629E+00 0.711710E-02 -.261610E-02 -.896544E-02 0.108990E-01
 2.450 0.176509E+00 -.168791E+00 0.592770E-02 -.193890E-02 -.770155E-02 0.846200E-02
 2.500 0.140179E+00 -.132843E+00 0.500880E-02 -.146940E-02 -.662874E-02 0.664300E-02
 2.550 0.112799E+00 -.105850E+00 0.428160E-02 -.113640E-02 -.571816E-02 0.526200E-02
 2.600 0.918050E-01 -.852420E-01 0.369450E-02 -.895500E-03 -.494430E-02 0.420240E-02
 2.650 0.754660E-01 -.692840E-01 0.321250E-02 -.718001E-03 -.428539E-02 0.338031E-02
 2.700 0.625860E-01 -.567780E-01 0.281100E-02 -.584802E-03 -.372306E-02 0.273650E-02
 2.750 0.523170E-01 -.468690E-01 0.247300E-02 -.483200E-03 -.324204E-02 0.222840E-02
 2.800 0.440460E-01 -.389460E-01 0.218550E-02 -.404399E-03 -.282953E-02 0.182410E-02
 2.850 0.373240E-01 -.325570E-01 0.193880E-02 -.342300E-03 -.247494E-02 0.150079E-02
 2.900 0.318150E-01 -.273650E-01 0.172580E-02 -.292700E-03 -.216937E-02 0.124040E-02
 2.950 0.272660E-01 -.231170E-01 0.154080E-02 -.252500E-03 -.190544E-02 0.102950E-02
 3.000 0.234840E-01 -.196210E-01 0.137910E-02 -.219500E-03 -.167697E-02 0.858001E-03
 3.050 0.203210E-01 -.167250E-01 0.123739E-02 -.192000E-03 -.147873E-02 0.717901E-03
 3.100 0.176590E-01 -.143140E-01 0.111258E-02 -.169098E-03 -.130637E-02 0.602800E-03
 3.150 0.154070E-01 -.122970E-01 0.100237E-02 -.149500E-03 -.115620E-02 0.507899E-03
 3.200 0.134910E-01 -.106020E-01 0.904640E-03 -.132900E-03 -.102509E-02 0.429302E-03
 3.250 0.118550E-01 -.917098E-02 0.817860E-03 -.118599E-03 -.910403E-03 0.364002E-03
 3.300 0.104510E-01 -.795799E-02 0.740550E-03 -.106100E-03 -.809887E-03 0.309702E-03
 3.350 0.924201E-02 -.692698E-02 0.671570E-03 -.953004E-04 -.721640E-03 0.264000E-03
 3.400 0.819600E-02 -.604601E-02 0.609850E-03 -.857003E-04 -.644013E-03 0.225902E-03
 3.450 0.728800E-02 -.529200E-02 0.554570E-03 -.772998E-04 -.575627E-03 0.193801E-03
 3.500 0.649800E-02 -.464199E-02 0.504940E-03 -.698697E-04 -.515259E-03 0.166498E-03
 3.550 0.580700E-02 -.408401E-02 0.460320E-03 -.632796E-04 -.461895E-03 0.143599E-03
 3.600 0.520100E-02 -.360100E-02 0.420150E-03 -.574403E-04 -.414644E-03 0.124101E-03
 3.650 0.466890E-02 -.318100E-02 0.383920E-03 -.521401E-04 -.372740E-03 0.107400E-03
 3.700 0.419930E-02 -.281699E-02 0.351200E-03 -.474700E-04 -.335523E-03 0.931993E-04
 3.750 0.378480E-02 -.250000E-02 0.321620E-03 -.432599E-04 -.302419E-03 0.810996E-04
 3.800 0.341800E-02 -.222300E-02 0.294840E-03 -.394401E-04 -.272929E-03 0.705998E-04
 3.850 0.309230E-02 -.198101E-02 0.270570E-03 -.360203E-04 -.246623E-03 0.617001E-04
 3.900 0.280210E-02 -.176799E-02 0.248540E-03 -.329302E-04 -.223126E-03 0.539999E-04
 3.950 0.254360E-02 -.158000E-02 0.228520E-03 -.301297E-04 -.202107E-03 0.473000E-04
 4.000 0.231300E-02 -.141500E-02 0.210320E-03 -.276002E-04 -.183283E-03 0.416003E-04
