 2.100 -.256252E+02 0.256218E+02 -.416049E+00 0.392013E+00 -.354700E-02 -.772815E+00
 2.110 -.211071E+02 0.211036E+02 -.356258E+00 0.332826E+00 0.103900E-01 -.669939E+00
 2.120 -.176617E+02 0.176579E+02 -.308003E+00 0.285163E+00 0.206150E-01 -.586035E+00
 2.130 -.149740E+02 0.149701E+02 -.268488E+00 0.246227E+00 0.281195E-01 -.516572E+00
 2.140 -.128372E+02 0.128331E+02 -.235724E+00 0.214030E+00 0.336031E-01 -.458344E+00
 2.150 -.111105E+02 0.111062E+02 -.208269E+00 0.187128E+00 0.375614E-01 -.409007E+00
 2.160 -.969547E+01 0.969099E+01 -.185049E+00 0.164449E+00 0.403583E-01 -.366815E+00
 2.170 -.852176E+01 0.851705E+01 -.165250E+00 0.145178E+00 0.422616E-01 -.330439E+00
 2.180 -.753766E+01 0.753277E+01 -.148245E+00 0.128690E+00 0.434743E-01 -.298849E+00
 2.190 -.670473E+01 0.669966E+01 -.133547E+00 0.114496E+00 0.441501E-01 -.271244E+00
 2.200 -.599379E+01 0.598856E+01 -.120767E+00 0.102209E+00 0.444085E-01 -.246981E+00
 2.250 -.363240E+01 0.362641E+01 -.766540E-01 0.603840E-01 0.420503E-01 -.160760E+00
 2.300 -.236623E+01 0.235963E+01 -.518680E-01 0.376140E-01 0.372348E-01 -.109889E+00
 2.350 -.161964E+01 0.161257E+01 -.368530E-01 0.243680E-01 0.321140E-01 -.777640E-01
 2.400 -.114965E+01 0.114224E+01 -.272241E-01 0.162870E-01 0.273928E-01 -.564760E-01
 2.450 -.839307E+00 0.831668E+00 -.207601E-01 0.111733E-01 0.232662E-01 -.418550E-01
 2.500 -.626734E+00 0.618989E+00 -.162522E-01 0.784300E-02 0.197427E-01 -.315270E-01
 2.550 -.476846E+00 0.469081E+00 -.130039E-01 0.562060E-02 0.167657E-01 -.240700E-01
 2.600 -.368605E+00 0.360916E+00 -.105960E-01 0.410640E-02 0.142612E-01 -.185860E-01
 2.650 -.288868E+00 0.281321E+00 -.876600E-02 0.305530E-02 0.121566E-01 -.144930E-01
 2.700 -.229115E+00 0.221772E+00 -.734470E-02 0.231300E-02 0.103870E-01 -.113990E-01
 2.750 -.183671E+00 0.176574E+00 -.621980E-02 0.178030E-02 0.889658E-02 -.903360E-02
 2.800 -.148652E+00 0.141838E+00 -.531430E-02 0.139220E-02 0.763884E-02 -.720830E-02
 2.850 -.121351E+00 0.114845E+00 -.457520E-02 0.110520E-02 0.657480E-02 -.578739E-02
 2.900 -.998440E-01 0.936590E-01 -.396410E-02 0.889897E-03 0.567242E-02 -.467310E-02
 2.950 -.827370E-01 0.768840E-01 -.345350E-02 0.725999E-03 0.490520E-02 -.379310E-02
 3.000 -.690130E-01 0.634940E-01 -.302290E-02 0.599599E-03 0.425131E-02 -.309370E-02
 3.050 -.579150E-01 0.527250E-01 -.265680E-02 0.500800E-03 0.369269E-02 -.253500E-02
 3.100 -.488740E-01 0.440080E-01 -.234330E-02 0.422399E-03 0.321405E-02 -.208580E-02
 3.150 -.414600E-01 0.369070E-01 -.207350E-02 0.359699E-03 0.280331E-02 -.172320E-02
 3.200 -.353400E-01 0.310900E-01 -.183990E-02 0.308700E-03 0.244984E-02 -.142920E-02
 3.250 -.302600E-01 0.262990E-01 -.163672E-02 0.266900E-03 0.214506E-02 -.118950E-02
 3.300 -.260190E-01 0.223330E-01 -.145928E-02 0.232199E-03 0.188177E-02 -.993498E-03
 3.350 -.224620E-01 0.190340E-01 -.130389E-02 0.203200E-03 0.165372E-02 -.832502E-03
 3.400 -.194630E-01 0.162800E-01 -.116726E-02 0.178700E-03 0.145580E-02 -.699800E-03
 3.450 -.169240E-01 0.139690E-01 -.104684E-02 0.157700E-03 0.128393E-02 -.590097E-03
 3.500 -.147640E-01 0.120250E-01 -.940430E-03 0.139801E-03 0.113415E-02 -.498902E-03
 3.550 -.129200E-01 0.103810E-01 -.846180E-03 0.124400E-03 0.100346E-02 -.422999E-03
 3.600 -.113397E-01 0.898701E-02 -.762500E-03 0.111000E-03 0.889183E-03 -.359600E-03
 3.650 -.998110E-02 0.780201E-02 -.688070E-03 0.993200E-04 0.789157E-03 -.306699E-03
 3.700 -.880770E-02 0.679000E-02 -.621750E-03 0.890596E-04 0.701337E-03 -.261899E-03
 3.750 -.779230E-02 0.592400E-02 -.562560E-03 0.800500E-04 0.624442E-03 -.224499E-03
 3.800 -.691041E-02 0.517999E-02 -.509640E-03 0.720602E-04 0.556711E-03 -.192801E-03
 3.850 -.614221E-02 0.454100E-02 -.462240E-03 0.650198E-04 0.496860E-03 -.165801E-03
 3.900 -.547140E-02 0.398900E-02 -.419750E-03 0.587301E-04 0.444110E-03 -.143101E-03
 3.950 -.488410E-02 0.351110E-02 -.381590E-03 0.531403E-04 0.397521E-03 -.123601E-03
 4.000 -.436840E-02 0.309710E-02 -.347270E-03 0.481498E-04 0.356260E-03 -.107201E-03
