0.8664312606	2.0865944564	0.0000000000
3.3931704153	0.8848944948	0.0000000000
6.0734423386	-0.0234547963	0.0000000000
7.4442075073	2.1740792923	0.0000000000
8.4941857654	-0.4454523138	0.0000000000
9.1582969486	-3.1989577734	0.0000000000
0.1128593875	-3.7313526325	0.0000000000
2.7284259894	-4.3915435604	0.0000000000
1.8446458245	-7.2525251647	0.0000000000
-9.2108686737	-2.4180772657	0.0000000000
-8.6025605650	-5.0714138103	0.0000000000
-8.4827541406	-7.7575854033	0.0000000000
14.3316805610	0.7341883576	0.0000000000
14.5658935994	-2.0693855873	0.0000000000
14.7749515141	-4.8784358265	0.0000000000
-2.7246231296	8.0362759596	0.0000000000
-0.0159731228	8.7818221728	0.0000000000
2.7608612330	9.2138921163	0.0000000000
2.0879479620	-9.4572260008	0.0000000000
4.7076455328	-8.5200958745	0.0000000000
7.3398498819	-8.0616253482	0.0000000000
0.7220217080	-15.2440069449	0.0000000000
3.5273947638	-15.0443948601	0.0000000000
6.3301608241	-14.8489082313	0.0000000000
0.3466701329	-21.1038580265	0.0000000000
3.1536106181	-21.0273069433	0.0000000000
5.9607012066	-20.9462202617	0.0000000000
-1.0641553905	14.5229922849	0.0000000000
1.7291770069	14.6734150353	0.0000000000
4.5250744609	14.7851106591	0.0000000000
-3.2632709064	1.2523412274	0.0000000000
-3.7215486306	4.0398645660	0.0000000000
-1.5067747690	5.7771809618	0.0000000000
1.0091601580	-5.9115127263	0.0000000000
0.0242013574	0.0034344886	0.0000000000
